routeTag,lat,lon,secsSinceReport,heading,speedKmHr,epochOfRestResponse=1704249426
903N,45.568888,-73.748061,86,215,0
42E,45.637025,-73.627694,25,44,24
39S,45.569735,-73.747264,255,236,16
61N,45.558214,-73.720149,56,215,0
56O,45.532122,-73.823235,146,322,14
42O,45.665358,-73.576994,6,140,14
50O,45.5645499,-73.731652,81,321,0
26O,45.545566,-73.73578,16,216,21
33S,45.559722,-73.6819469,281,141,0
151N,45.545086,-73.752733,16,323,0
40E,45.558544,-73.719813,141,174,6
66O,45.530899,-73.815539,20,328,0
42O,45.603794,-73.646489,25,196,16
42E,45.561669,-73.728444,25,215,0
63N,45.554603,-73.702478,16,219,0
903S,45.562764,-73.858692,11,40,11
70O,45.5702489,-73.767299,35,140,0
63S,45.584569,-73.764794,16,48,21
50E,45.572688,-73.718438,25,35,0
70E,45.582447,-73.685186,6,142,0
55S,45.5535,-73.748697,20,141,0
31S,45.573963,-73.696164,16,140,24
22E,45.569252,-73.67626,11,146,0
144E,45.529383,-73.722799,161,130,14
151S,45.55225,-73.760436,40,135,0
33N,45.5600809,-73.682749,45,215,0
74E,45.622641,-73.744861,6,54,13
76E,45.566558,-73.73398,100,138,0
27S,45.614378,-73.742236,16,71,0
42O,45.5658389,-73.753036,6,59,0
31N,45.570133,-73.691705,16,325,0
48E,45.606803,-73.741864,45,199,0
65N,45.6015,-73.791486,95,75,0
144O,45.53211,-73.823252,221,324,0
22O,45.58443,-73.664828,6,220,0
45S,45.587886,-73.739591,45,140,18
52O,45.667785,-73.584244,11,142,0
46S,45.533802,-73.803353,6,60,19
360N,45.567672,-73.745958,6,158,5
76O,45.557031,-73.865419,11,234,0
73N,45.575391,-73.835486,236,33,0
61S,45.576885,-73.787864,30,162,0
52E,45.668513,-73.574135,20,140,19
43N,45.5702489,-73.691822,45,215,0
26E,45.538789,-73.752847,20,73,0
20O,45.539914,-73.72136,6,256,0
60E,45.548369,-73.73703,110,215,0
55N,45.571855,-73.794597,11,302,11
74O,45.624622,-73.742975,16,172,13
